Date,Venue,Festival,City_Country,Lat,Long,Tour,Set,Last_track_Set,Encores,Last_track_Encore,Encores_Count,Set_Length,Other_Acts,Has_Guitar_Solo,Has_Bass_Solo,Has_Drum_Solo,Has_Doodle,Has_Medley,Kill_'Em_All_Count,Ride_The_Lightning_Count,Master_Of_Puppets_Count,And_Justice_For_All_Count,Metallica_Count,Load_Count,Re_Load_Count,Garage_Inc_Count,St_Anger_Count,Death_Magnetic_Count,Hardwired_To_Self_Destruct_Count
11/13/2010,Acer Arena,,"Sydney, Australia",-33.8688197,151.2092955,World Magnetic,"['That Was Just Your Life', 'Fuel', 'Disposable Heroes', 'The Thing That Should Not Be', 'Welcome Home (Sanitarium)', 'Leper Messiah', 'I Disappear', 'Sad But True', 'Turn the Page', 'All Nightmare Long', 'One', 'Master of Puppets', 'Damage, Inc.', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,"['Last Caress', 'Trapped Under Ice', 'Seek and Destroy']",Seek and Destroy,1,18,"['Lamb of God', 'Baroness']",False,False,False,False,False,0,0,6,1,3,0,1,1,0,2,0
11/11/2010,Acer Arena,,"Sydney, Australia",-33.8688197,151.2092955,World Magnetic,"['That Was Just Your Life', 'Cyanide', 'Creeping Death', 'Harvester of Sorrow', 'Fade to Black', 'The Memory Remains', 'No Remorse', 'Sad But True', 'No Leaf Clover', 'Orion', 'One', 'Master of Puppets', 'Battery', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,"['Stone Cold Crazy', 'Whiplash', 'Seek and Destroy']",Seek and Destroy,1,18,"['Lamb of God', 'Baroness']",False,False,False,False,False,1,2,3,2,3,0,1,0,0,2,0
11/10/2010,Acer Arena,,"Sydney, Australia",-33.8688197,151.2092955,World Magnetic,"['That Was Just Your Life', 'The End of the Line', 'For Whom the Bell Tolls', 'Through the Never', 'One', 'Broken, Beat & Scarred', 'Wherever I May Roam', 'Sad But True', 'The Unforgiven', '...And Justice for All', 'The Day That Never Comes', 'Master of Puppets', 'Blackened', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,"['Am I Evil?', 'Motorbreath', 'Seek and Destroy']",Seek and Destroy,1,18,"['Lamb of God', 'Baroness']",False,False,False,False,False,0,1,1,3,6,0,0,0,0,4,0
11/4/2010,"Santa Monica Airport, Hangar 8",Call Of Duty: Black Ops Launch Event,"Santa Monica, California, United States",34.0194543,-118.4911912,World Magnetic,"['Creeping Death', 'For Whom the Bell Tolls', 'Fuel', 'Harvester of Sorrow', 'Fade to Black', 'Cyanide', 'Sad But True', 'One', 'Master of Puppets', 'Battery']",Battery,"['Stone Cold Crazy', 'Enter Sandman']",Enter Sandman,1,12,,False,False,False,False,False,0,3,2,2,1,0,1,0,0,1,0
10/23/2010,Burswood Dome,,"Perth, Australia",-31.9505269,115.8604572,World Magnetic,"['That Was Just Your Life', 'Cyanide', 'Harvester of Sorrow', 'Disposable Heroes', 'One', 'Through the Never', 'My Apocalypse', 'Sad But True', 'No Leaf Clover', 'Orion', 'The Day That Never Comes', 'Master of Puppets', 'Fight Fire with Fire', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,"['Stone Cold Crazy', 'Whiplash', 'Seek and Destroy']",Seek and Destroy,1,18,"['Lamb of God', 'Baroness']",False,False,False,False,False,0,1,3,2,4,0,0,0,0,4,0
10/22/2010,Burswood Dome,,"Perth, Australia",-31.9505269,115.8604572,World Magnetic,"['That Was Just Your Life', 'The End of the Line', 'For Whom the Bell Tolls', 'Fuel', 'Fade to Black', 'Broken, Beat & Scarred', 'The Four Horsemen', 'Sad But True', 'The Unforgiven', 'All Nightmare Long', 'One', 'Master of Puppets', 'Blackened', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,"['Breadfan', 'Hit the Lights', 'Seek and Destroy']",Seek and Destroy,1,18,"['Lamb of God', 'Baroness']",False,False,False,False,False,1,2,1,2,4,0,1,0,0,4,0
10/19/2010,Brisbane Entertainment Centre,,"Brisbane, Australia",-27.4697707,153.0251235,World Magnetic,"['That Was Just Your Life', 'The Four Horsemen', 'Ride the Lightning', 'The Thing That Should Not Be', 'The Unforgiven', 'Harvester of Sorrow', 'I Disappear', 'Sad But True', 'No Leaf Clover', 'Orion', 'One', 'Master of Puppets', 'Fight Fire with Fire', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,"['Blitzkrieg', 'My Apocalypse', 'Seek and Destroy']",Seek and Destroy,1,18,"['Lamb of God', 'Baroness']",False,False,False,False,False,1,2,3,2,4,0,0,0,0,1,0
10/18/2010,Brisbane Entertainment Centre,,"Brisbane, Australia",-27.4697707,153.0251235,World Magnetic,"['That Was Just Your Life', 'Cyanide', 'Creeping Death', 'The Memory Remains', 'One', 'The God That Failed', 'No Remorse', 'Sad But True', 'Welcome Home (Sanitarium)', '...And Justice for All', 'The Day That Never Comes', 'Master of Puppets', 'Battery', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,"['Stone Cold Crazy', 'Motorbreath', 'Seek and Destroy']",Seek and Destroy,1,18,"['Lamb of God', 'Baroness']",False,False,False,False,False,1,1,3,2,4,0,1,0,0,3,0
10/16/2010,Brisbane Entertainment Centre,,"Brisbane, Australia",-27.4697707,153.0251235,World Magnetic,"['That Was Just Your Life', 'The End of the Line', 'For Whom the Bell Tolls', 'Fuel', 'Fade to Black', 'Broken, Beat & Scarred', 'Leper Messiah', 'Sad But True', 'Turn the Page', 'All Nightmare Long', 'One', 'Master of Puppets', 'Blackened', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,"['Am I Evil?', 'Whiplash', 'Seek and Destroy']",Seek and Destroy,1,18,"['Lamb of God', 'Baroness']",False,False,False,False,False,0,2,2,2,3,0,1,1,0,4,0
10/13/2010,Vector Arena,,"Auckland, New Zealand",-36.8484597,174.7633315,World Magnetic,"['That Was Just Your Life', 'Cyanide', 'Ride the Lightning', 'Fuel', 'Fade to Black', 'Of Wolf and Man', 'All Nightmare Long', 'Sad But True', 'The Unforgiven', 'Orion', 'One', 'Master of Puppets', 'Fight Fire with Fire', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,"['Am I Evil?', 'Phantom Lord', 'Seek and Destroy']",Seek and Destroy,1,18,"['Lamb of God', 'Baroness']",False,False,False,False,False,0,3,2,1,5,0,1,0,0,3,0
