Date,City_Country,State,Country,Latitude,Longitude,Tour,Encores_Count,Set_Length,Kill_Em_All_Count,Ride_The_Lightning_Count,Master_Of_Puppets_Count,And_Justice_For_All_Count,Metallica_Count,Load_Count,Re_Load_Count,Garage_Inc_Count,St_Anger_Count,Death_Magnetic_Count,Hardwired_To_Self_Destruct_Count,1 Track,2 Track,3 Track,4 Track,5 Track,6 Track,7 Track,8 Track,9 Track,10 Track,11 Track,12 Track,13 Track,14 Track,15 Track,16 Track,17 Track,18 Track,19 Track,20 Track,21 Track,22 Track,Last_track_Set,1 Encore,2 Encore,3 Encore,4 Encore,Last_track_Encore
06.09.2018,Lincoln,Nebraska,United States,40.813616,-96.7025955,WorldWired,3,15,1,3,1,1,1,0,2,0,0,1,4,Hardwired,"Atlas,Rise!",Seek and Destroy,The Memory Remains,The Unforgiven III,Now That Were Dead,Creeping Death,For Whom the Bell Tolls,Fade to Black,Hit the Lights,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out The Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
04.09.2018,Minneapolis,Minnesota,United States,44.977753,-93.2650108,WorldWired,3,15,0,2,1,2,1,0,1,1,0,0,5,Hardwired,"Atlas,Rise!",Seek and Destroy,Harvester of Sorrow,No Leaf Clover,Now That Were Dead,Creeping Death,For Whom the Bell Tolls,Halo On Fire,Breadfan,The Memory Remains,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out The Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
02.09.2018,Madison,Wisconsin,United States,43.0730517,-89.4012302,WorldWired,3,15,0,2,1,1,1,0,1,0,0,1,6,Hardwired,"Atlas,Rise!",Seek and Destroy,Cyanide,Fade to Black,Now That Were Dead,Confusion,For Whom the Bell Tolls,Halo On Fire,Last Caress,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out The Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
11.05.2018,Helsinki,,Finland,60.1698557,24.9383791,WorldWired,3,15,1,2,2,1,1,0,0,0,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,The Four Horsemen,Welcome Home (Sanitarium),Now That Were Dead,Dream No More,For Whom the Bell Tolls,Halo On Fire,Last Caress,Creeping Death,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,Enter Sandman
09.05.2018,Helsinki,,Finland,60.1698557,24.9383791,WorldWired,3,16,0,2,1,2,1,0,1,1,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,Harvester of Sorrow,Fade to Black,Now That Were Dead,Confusion,For Whom the Bell Tolls,Halo On Fire,Die,Die My Darling,The Memory Remains,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,Master of Puppets,Spit Out the Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
07.05.2018,Stockholm,,Sweden,59.3293235,18.0685808,WorldWired,3,15,1,1,2,1,1,0,1,1,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,Hit the Lights,Welcome Home (Sanitarium),Now That Were Dead,Dream No More,For Whom the Bell Tolls,Halo On Fire,Breadfan,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,Enter Sandman
05.05.2018,Stockholm,,Sweden,59.3293235,18.0685808,WorldWired,3,15,1,2,1,1,2,0,0,1,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,The Four Horsemen,The Unforgiven,Now That Were Dead,Confusion,For Whom the Bell Tolls,Halo On Fire,Stone Cold Crazy,Creeping Death,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out the Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
02.05.2018,Oslo,,Norway,59.9138688,10.7522454,WorldWired,3,15,1,2,2,1,1,0,0,0,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,Motorbreath,Welcome Home (Sanitarium),Now That Were Dead,Confusion,For Whom the Bell Tolls,Halo On Fire,Last Caress,Creeping Death,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out the Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
30.04.2018,Leipzig,,Germany,51.3396955,12.3730747,WorldWired,3,15,0,2,1,2,1,0,1,1,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,The Shortest Straw,Fade to Black,Now That Were Dead,Confusion,For Whom the Bell Tolls,Halo On Fire,Breadfan,The Memory Remains,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out the Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
28.04.2018,Krakow,,Poland,50.0646501,19.9449799,WorldWired,3,16,1,3,1,1,1,0,0,1,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,Motorbreath,Fade to Black,Now That Were Dead,Dream No More,For Whom the Bell Tolls,Halo On Fire,Die,Die My Darling,Creeping Death,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,Master of Puppets,Spit Out the Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
26.04.2018,Munich,,Germany,48.1351253,11.5819805,WorldWired,3,15,0,1,2,1,2,0,1,1,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,Holier Than Thou,Welcome Home (Sanitarium),Now That Were Dead,Confusion,For Whom the Bell Tolls,Halo On Fire,The Wait,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out the Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
23.04.2018,San Francisco,California,United States,37.7749295,-122.4194155,,0,1,0,0,0,0,0,0,0,0,0,0,0,The Star-Spangled Banner,,,,,,,,,,,,,,,,,,,,,,The Star-Spangled Banner,,,,,
11.04.2018,Geneva,,Switzerland,46.2043907,6.1431577,WorldWired,3,15,1,1,2,1,1,0,1,0,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,The Four Horsemen,Welcome Home (Sanitarium),Now That Were Dead,Dream No More,For Whom the Bell Tolls,Halo On Fire,Last Caress,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out the Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
09.04.2018,Stuttgart,,Germany,48.7758459,9.1829321,WorldWired,3,15,1,1,1,1,2,0,1,1,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,Hit the Lights,The Unforgiven,Now That Were Dead,Dream No More,For Whom the Bell Tolls,Halo On Fire,Am I Evil?,The Memory Remains,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out the Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
07.04.2018,Stuttgart,,Germany,48.7758459,9.1829321,WorldWired,3,15,1,3,1,1,1,0,0,1,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,Motorbreath,Fade to Black,Now That Were Dead,Confusion,For Whom the Bell Tolls,Halo On Fire,Helpless,Creeping Death,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,Enter Sandman
05.04.2018,Budapest,,Hungary,47.497912,19.040235,WorldWired,3,15,1,1,2,1,1,0,1,1,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,Hit the Lights,Welcome Home (Sanitarium),Now That Were Dead,Dream No More,For Whom the Bell Tolls,Halo On Fire,Breadfan,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out the Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
